-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         0.00%     936.569us         0.01%       2.038ms      10.614us     167.941us         0.00%     177.925us       0.927us           0 B           0 B      32.74 MB           0 B           192  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     167.941us         0.00%     167.941us       1.768us           0 B           0 B           0 B           0 B            95  
                                            aten::fill_         0.01%       1.936ms         0.02%       6.286ms       9.354us     146.970us         0.00%     147.770us       0.220us           0 B           0 B           0 B           0 B           672  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     146.970us         0.00%     146.970us       0.765us           0 B           0 B           0 B           0 B           192  
                               cudaEventRecordWithFlags         0.00%     320.004us         0.00%     320.004us       0.836us     126.530us         0.00%     126.530us       0.330us           0 B           0 B           0 B           0 B           383  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     110.822us         0.00%     110.822us       1.154us           0 B           0 B           0 B           0 B            96  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     110.401us         0.00%     110.401us       1.150us           0 B           0 B           0 B           0 B            96  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      99.486us         0.00%      99.486us       1.036us           0 B           0 B           0 B           0 B            96  
                                              aten::sub         0.00%     948.352us         0.00%       1.620ms      16.871us      86.149us         0.00%      87.045us       0.907us           0 B           0 B      48.00 KB      48.00 KB            96  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      86.149us         0.00%      86.149us       0.897us           0 B           0 B           0 B           0 B            96  
                                    cudaStreamWaitEvent         0.00%      98.600us         0.00%      98.600us       1.027us      64.768us         0.00%      64.768us       0.675us           0 B           0 B           0 B           0 B            96  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      56.001us         0.00%      56.001us       1.750us           0 B           0 B           0 B           0 B            32  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      53.601us         0.00%      53.601us       1.675us           0 B           0 B           0 B           0 B            32  
                                        cudaEventRecord         0.00%     273.601us         0.00%     273.601us       1.425us      53.441us         0.00%      53.441us       0.278us           0 B           0 B           0 B           0 B           192  
void tensorrt_llm::kernels::cutlass_kernels::blockEx...         0.00%       0.000us         0.00%       0.000us       0.000us      53.123us         0.00%      53.123us       1.660us           0 B           0 B           0 B           0 B            32  
void tensorrt_llm::kernels::cutlass_kernels::globalE...         0.00%       0.000us         0.00%       0.000us       0.000us      48.958us         0.00%      48.958us       1.530us           0 B           0 B           0 B           0 B            32  
tensorrt_llm::kernels::cutlass_kernels::mergeExpertP...         0.00%       0.000us         0.00%       0.000us       0.000us      41.888us         0.00%      41.888us       1.309us           0 B           0 B           0 B           0 B            32  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      30.690us         0.00%      30.690us       0.959us           0 B           0 B           0 B           0 B            32  
                                           aten::gather         0.00%      17.803us         0.00%      30.207us      30.207us       9.984us         0.00%       9.984us       9.984us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       9.984us         0.00%       9.984us       9.984us           0 B           0 B           0 B           0 B             1  
